,eff_cue_a-cue_b,eff_stim_ay-stim_by,eff_stim_bx-stim_by,eff_all_cue,eff_all_stim,eff_all_cue_stim,vif_cue_a-cue_b,vif_stim_ay-stim_by,vif_stim_bx-stim_by,vif_all_cue,vif_all_stim,vif_all_cue_stim,scan_length,kao_measure,prob_runs_gte_2,run_num_diff_from_avg,prob_next_given_last1,prob_next_given_last2,sum_abs_diff_prob_next_given_last1,sum_abs_diff_prob_next_given_last2,design_index
19840,0.8059370894141856,1.464742308056047,1.6021469291341417,0.4555245033675029,1.7185656815259058,2.6185679002133813,0.7768545437029506,0.973441966674204,0.8867806525680276,5.500123698321879,7.526950219819399,5.388095509314844,949.7432620971848,10.239999999999998,0.5,11.154400000000003,0.6067415730337079,0.625,0.051994906503009475,0.23082046277867335,19840
51009,0.8016524583802681,1.4966403536269013,1.5791139904361906,0.451161573059996,1.725456021261641,2.5621625348506143,0.7672552906773036,0.9857860976857244,0.9176988449455378,5.4738104188814924,7.661641418871257,5.544968289168685,950.0430996265812,27.760000000000016,0.5342465753424657,13.7852,0.6101694915254238,0.6521739130434783,0.009655689262114187,0.1427566007196694,51009
97536,0.812038565228649,1.546701512775702,1.5923184868685245,0.4610437908175178,1.7133413960737316,2.5120727340379894,0.7713522088283008,0.923429717293348,0.9015803187195104,5.403710155422607,7.688767664389967,5.676028735174823,952.1161951396542,17.920000000000027,0.48684210526315785,14.9832,0.6333333333333333,0.6818181818181818,0.08208749050073594,0.15720743578611734,97536
94436,0.8078225655549041,1.5145967687659525,1.6034737534011223,0.4672609620600984,1.696740713686181,2.793450243988261,0.7691638777448154,0.9976622641945088,0.9009259345362348,5.366679942141573,7.874212281808918,5.320008665241907,944.4461313383512,21.91999999999999,0.44,18.5612,0.6333333333333333,0.6363636363636364,0.05961558038837639,0.3910824265566015,94436
13449,0.83204977714987,1.6164366409848765,1.6452796111283972,0.4677172142800974,1.7640396748816738,2.8524404496138924,0.764018082997891,0.9402769775253952,0.8871102665581445,5.452613444928265,7.583669288260062,5.150144008900814,948.8536261766428,16.000000000000025,0.48684210526315785,10.735199999999999,0.6271186440677966,0.631578947368421,0.06016997214444403,0.18564928625492438,13449
92877,0.8003210198975905,1.509851045884603,1.6302277026964154,0.459635508446834,1.7605510479401036,2.777927304144721,0.7663257963937382,0.9482956636114764,0.9073280724126797,5.383624831893046,7.415193794823033,5.114997764469772,948.4977789804924,26.800000000000008,0.5,10.285599999999999,0.6166666666666667,0.6388888888888888,0.01657211919765006,0.18251156458173368,92877
9229,0.8316646609878328,1.512197211074046,1.723346300284783,0.4640885613529696,1.7037334569592195,2.570302404709764,0.7651330857237048,0.9742873831191244,0.8892313359436222,5.505342383778582,7.785542210530463,5.651671230552446,949.5618158450484,21.760000000000016,0.5205479452054794,16.055999999999997,0.6101694915254238,0.6956521739130435,0.009655689262114187,0.25060988904833337,9229
98511,0.8068718714268002,1.4757636862398358,1.6643301879261414,0.4510223751463977,1.775968574057594,2.6587828640424567,0.757049424434834,0.99908708737317,0.905741978112686,5.4241867521385,7.47174112347614,5.342310599599566,949.2751121109228,15.760000000000016,0.5,9.608799999999999,0.6166666666666667,0.6216216216216216,0.026282247055043062,0.17552320398808402,98511
24976,0.8286707354866073,1.5126738873197036,1.629344873518427,0.4606565875718371,1.7069476758597932,2.654003940344213,0.7563367735103682,0.9797677448333604,0.9094431677918772,5.474958643665859,7.855635373452737,5.514747615118258,950.532277345913,18.320000000000018,0.5066666666666667,15.043599999999998,0.6271186440677966,0.6486486486486487,0.06016997214444403,0.40704287606956696,24976
7605,0.7967733544132798,1.5076656357054825,1.6194131488482426,0.4499973168607287,1.6743772976147984,2.520169184164999,0.7736750943982733,0.9530408732936888,0.9001252569431165,5.4866644449176825,7.696759645261217,5.578333858020237,949.4949078057452,12.640000000000004,0.4666666666666667,17.8356,0.6271186440677966,0.6486486486486487,0.03794774992222172,0.313424999842571,7605
60312,0.8053522809620803,1.513302382172262,1.6067270948659365,0.4566071849778187,1.68484438127282,2.518658460376817,0.7542350488519179,0.9423044502585622,0.8863975435846686,5.327431208128616,7.733575618198416,5.620668842410471,952.0138547073188,28.000000000000025,0.5333333333333333,11.410400000000001,0.6166666666666667,0.6956521739130435,0.026282247055043062,0.2770645804650858,60312
3295,0.8580527510401798,1.5309210918374747,1.7288804136744456,0.4650607631102452,1.6828216524829045,2.6925825742913654,0.7388694615180508,0.9631568725265992,0.8606390306608669,5.487004685238153,7.867854946800261,5.460028745656782,947.8259691080208,12.160000000000014,0.4675324675324675,19.064799999999998,0.6333333333333333,0.6842105263157895,0.08208749050073594,0.4933978582140228,3295
