,eff_go,eff_nogo,eff_nogo-go,eff_task,vif_go,vif_nogo,vif_nogo-go,vif_task,scan_length,kao_measure,prob_runs_gte_2,run_num_diff_from_avg,prob_next_given_last1,prob_next_given_last2,sum_abs_diff_prob_next_given_last1,sum_abs_diff_prob_next_given_last2
63748,3.185002675260007,1.8834290817240025,2.785373443917597,3.0056711279875934,2.375737506303947,1.6518110602208893,0.8350138766217942,3.1925346899030425,515.9692648771287,11.26530612244901,0.4999999999999998,19.0868,0.8633540372670807,0.8636363636363636,0.1310950591602181,0.7563051616263434
57900,2.820976079298672,1.664347090527548,2.620875046240488,2.6159265351267225,2.5484374447187395,1.7567138343554676,0.8372959356060595,3.467855343468148,514.7280722179033,9.999999999999964,0.5106382978723403,17.3558,0.8571428571428571,0.8695652173913043,0.0436907457321746,0.7229852611364156
57743,2.9061632349261552,1.8459568140148204,2.872142370237798,2.810035821143648,2.5030169829438624,1.7659288148618204,0.8254181634821278,3.443527634323555,521.4149476258772,9.755102040816343,0.5333333333333332,16.154600000000002,0.8633540372670807,0.8636363636363636,0.1301871800546959,0.7970173815791772
48817,3.071974882124377,1.904501055959419,2.8445923713189982,2.963738837460966,2.433418054758107,1.653353491472774,0.8327715982642588,3.2539999479666224,520.3144742496293,13.387755102040831,0.5555555555555555,16.501,0.8633540372670807,0.9090909090909092,0.1301871800546959,0.8478479035692867
99230,2.826072655512198,1.8414673927964904,2.747048930779448,2.7976738023399084,2.4862836946918723,1.6847886435312138,0.8415663419811442,3.329505996241942,520.4490704979514,6.163265306122467,0.5333333333333333,15.571000000000002,0.8633540372670807,0.8636363636363636,0.1283197971057085,0.7950826971410948
48915,2.88716607776916,1.8182365109037943,2.800142774622625,2.786363130372848,2.5155804381975835,1.7292239801936984,0.8340305600472246,3.410773858344057,520.5151338239664,12.816326530612209,0.4782608695652173,16.631000000000004,0.8571428571428571,0.8695652173913043,0.0436907457321746,0.8423605436345163
52503,3.0983292596525307,1.6486447696961388,2.5481753324365424,2.7281610146030544,2.4162454111745024,1.714390440170534,0.8305183007813277,3.3001175505637086,521.0184896927948,9.63265306122445,0.5319148936170212,13.139,0.8571428571428571,0.9130434782608696,0.0436907457321746,0.8153706703139216
30941,3.108738075254001,1.780001459598321,2.661579849185677,2.875162429854616,2.3867914187470984,1.665631241899839,0.8354555082514697,3.216967152395468,517.0272446439292,6.040816326530573,0.5319148936170213,15.4942,0.8571428571428571,0.9130434782608696,0.0476526255365117,0.8214170314827947
77021,3.1867826221519087,1.7869054100153747,2.800114800913925,2.8782829486560417,2.5006711745410213,1.7251856138709332,0.8334268746274743,3.39242991378448,518.8795224032081,7.26530612244901,0.4888888888888887,19.0844,0.8580246913580247,0.8636363636363636,0.0577583046640434,0.7433181486393304
26462,3.17942038445701,1.678328823851056,2.53992049645585,2.803095265350279,2.324812404423686,1.7027118120313762,0.826530577182261,3.2009936392728013,521.49193021314,2.4081632653060847,0.5106382978723403,18.213,0.8571428571428571,0.8695652173913043,0.0476526255365117,0.7282007219137315
